tier,jurisdiction,chapter,section_number,subject,official_url,citation_log_id,used_in
1,missouri,455,455.050,Order of protection — relief available,https://revisor.mo.gov/main/OneSection.aspx?section=455.050,C-004,Master Doc 002 Count I
1,missouri,455,455.085,Violation of order of protection,https://revisor.mo.gov/main/OneSection.aspx?section=455.085,C-003,Master Doc 002 Count I
1,missouri,516,516.120,Five-year limitations period,https://revisor.mo.gov/main/OneSection.aspx?section=516.120,C-052,Master Doc 004 (superseded by 516.140 for malicious prosecution)
1,missouri,516,516.140,Two-year limitations period (malicious prosecution),https://revisor.mo.gov/main/OneSection.aspx?section=516.140,C-052,Master Doc 004
1,missouri,533,533.020,Replevin — order of delivery,https://revisor.mo.gov/main/OneSection.aspx?section=533.020,C-055,Master Doc 004
1,missouri,542,542.402,Interception of communications — exceptions,https://revisor.mo.gov/main/OneSection.aspx?section=542.402,C-001 C-002,Operating Rules (Rule 14)
1,missouri,562,562.011,Voluntary act,https://revisor.mo.gov/main/OneSection.aspx?section=562.011,C-008,Master Doc 002 Count II
1,missouri,562,562.016,Culpable mental states,https://revisor.mo.gov/main/OneSection.aspx?section=562.016,C-007,Master Doc 002 Counts II-III
1,missouri,565,565.056,Assault in the fourth degree,https://revisor.mo.gov/main/OneSection.aspx?section=565.056,C-009,Master Doc 002 Count III
1,missouri,569,569.080,Tampering in the first degree,https://revisor.mo.gov/main/OneSection.aspx?section=569.080,C-021,Master Doc 003 / Ralls County
1,missouri,575,575.150,Resisting or interfering with arrest,https://revisor.mo.gov/main/OneSection.aspx?section=575.150,C-006,Master Doc 002 Count II
1,missouri,589,589.663,Address confidentiality program — created,https://revisor.mo.gov/main/OneSection.aspx?section=589.663,C-005,Master Doc 002 Count I
1,missouri,589,589.664,Address confidentiality — nondisclosure,https://revisor.mo.gov/main/OneSection.aspx?section=589.664,C-023,Master Doc 002 Count I
1,missouri,610,610.122,Expungement — false information / traffic arrests,https://revisor.mo.gov/main/OneSection.aspx?section=610.122,C-026,Master Doc 003 (excluded, noted)
1,missouri,610,610.140,Expungement — petition,https://revisor.mo.gov/main/OneSection.aspx?section=610.140,C-024 C-049 C-050,Master Doc 003
