citation_id,section,quotes_checked,result,first_mismatch
C-001,542.402,1,MATCH,
C-002,542.402,1,MATCH,
C-003,455.085,1,MATCH,
C-004,455.050,1,MATCH,
C-005,589.663,1,MATCH,
C-006,575.150,2,MATCH,
C-007,562.016,4,MATCH,
C-008,562.011,1,MATCH,
C-009,565.056,1,MISMATCH,A person commits the offense of assault in the fourth degree if: (1) The person attempts to cause or recklessly causes p
C-021,569.080,0,NO QUOTE IN LOG,
C-023,589.664,1,MATCH,
C-024,610.140,1,MATCH,
C-026,610.122,1,MATCH,
C-049,610.140,0,NO QUOTE IN LOG,
C-050,610.140,0,NO QUOTE IN LOG,
C-024 (re-confirmed),610.140,0,NO QUOTE IN LOG,
